chr_x	start_x	end_x	chr_y	start_y	end_y	anchor_ID_x	anchor_ID_y	loopID	Benign	Malignant	Consistent_in_benign_or_tumour
chr10	12310000	12320000	chr10	13050000	13100000	10003	10011	10003_10011	0	1	FALSE
chr10	12340000	12360000	chr10	12650000	12770000	10004	10006	10004_10006	0	1	FALSE
chr10	13400000	13410000	chr10	14450000	14530000	10015	10025	10015_10025	0	1	FALSE
chr1	160300000	160310000	chr1	161030000	161040000	1001	1012	1001_1012	0	1	FALSE
chr10	14450000	14530000	chr10	15090000	15110000	10025	10030	10025_10030	0	1	FALSE
chr10	14600000	14620000	chr10	14810000	14840000	10026	10028	10026_10028	1	1	FALSE
chr10	14950000	14980000	chr10	15090000	15110000	10029	10030	10029_10030	2	2	FALSE
chr10	15700000	15730000	chr10	15820000	15840000	10036	10037	10036_10037	0	1	FALSE
chr10	15870000	15920000	chr10	16510000	16520000	10038	10040	10038_10040	0	1	FALSE
chr1	160360000	160370000	chr1	160600000	160620000	1003	1006	1003_1006	0	1	FALSE
chr10	16830000	16860000	chr10	17370000	17390000	10044	10049	10044_10049	0	2	FALSE
chr10	16990000	17000000	chr10	17220000	17270000	10045	10047	10045_10047	0	1	FALSE
chr1	160410000	160450000	chr1	160950000	160980000	1004	1010	1004_1010	0	2	FALSE
chr10	17730000	17750000	chr10	18210000	18240000	10053	10058	10053_10058	0	1	FALSE
chr1	160470000	160480000	chr1	160880000	160890000	1005	1009	1005_1009	0	1	FALSE
chr10	19230000	19240000	chr10	20790000	20810000	10060	10073	10060_10073	0	1	FALSE
chr10	19850000	19860000	chr10	20090000	20100000	10064	10067	10064_10067	0	1	FALSE
chr10	20850000	20890000	chr10	21070000	21090000	10074	10075	10074_10075	1	1	FALSE
chr10	21240000	21290000	chr10	21930000	21940000	10076	10079	10076_10079	0	1	FALSE
chr10	21240000	21290000	chr10	22970000	23000000	10076	10093	10076_10093	1	1	FALSE
chr1	160720000	160740000	chr1	161090000	161100000	1007	1013	1007_1013	0	1	FALSE
chr10	21980000	22020000	chr10	22560000	22590000	10081	10091	10081_10091	3	1	TRUE
chr10	22210000	22280000	chr10	22970000	23000000	10085	10093	10085_10093	5	2	TRUE
chr10	23440000	23450000	chr10	24500000	24550000	10098	10105	10098_10105	0	1	FALSE
chr10	30790000	30800000	chr10	31780000	31810000	10148	10156	10148_10156	0	1	FALSE
chr10	30880000	30890000	chr10	31780000	31810000	10149	10156	10149_10156	0	1	FALSE
chr10	31840000	31860000	chr10	32190000	32210000	10158	10161	10158_10161	1	2	FALSE
chr10	32050000	32060000	chr10	32190000	32210000	10160	10161	10160_10161	0	1	FALSE
chr10	32430000	32440000	chr10	33000000	33020000	10164	10166	10164_10166	0	1	FALSE
chr10	33180000	33220000	chr10	34260000	34290000	10167	10177	10167_10177	0	1	FALSE
chr10	33180000	33220000	chr10	34320000	34340000	10167	10178	10167_10178	0	1	FALSE
chr10	33290000	33300000	chr10	34620000	34650000	10168	10182	10168_10182	0	1	FALSE
chr10	33320000	33360000	chr10	34080000	34130000	10169	10175	10169_10175	2	2	FALSE
chr10	33320000	33360000	chr10	34220000	34230000	10169	10176	10169_10176	0	1	FALSE
chr1	161780000	161820000	chr1	162310000	162320000	1016	1021	1016_1021	0	1	FALSE
chr1	161780000	161820000	chr1	162380000	162410000	1016	1022	1016_1022	1	1	FALSE
chr10	33740000	33780000	chr10	34620000	34650000	10173	10182	10173_10182	0	1	FALSE
chr10	36860000	36910000	chr10	37260000	37280000	10203	10204	10203_10204	0	2	FALSE
chr10	42570000	42580000	chr10	42700000	42710000	10210	10212	10210_10212	0	1	FALSE
chr10	42820000	42830000	chr10	43070000	43120000	10214	10217	10214_10217	1	1	FALSE
chr10	43650000	43720000	chr10	43990000	44000000	10221	10227	10221_10227	0	1	FALSE
chr10	43650000	43720000	chr10	44040000	44100000	10221	10229	10221_10229	1	3	TRUE
chr10	43780000	43790000	chr10	44260000	44420000	10222	10234	10222_10234	1	1	FALSE
chr10	43870000	43880000	chr10	44830000	44880000	10225	10241	10225_10241	0	1	FALSE
chr10	44040000	44100000	chr10	44830000	44880000	10229	10241	10229_10241	0	1	FALSE
chr10	44040000	44100000	chr10	44890000	44910000	10229	10242	10229_10242	0	1	FALSE
chr10	44530000	44550000	chr10	44830000	44880000	10235	10241	10235_10241	1	1	FALSE
chr10	45000000	45050000	chr10	45430000	45470000	10244	10249	10244_10249	0	1	FALSE
chr10	45090000	45100000	chr10	45280000	45290000	10245	10248	10245_10248	0	1	FALSE
chr10	47010000	47040000	chr10	47390000	47400000	10252	10258	10252_10258	0	1	FALSE
chr10	47010000	47040000	chr10	47410000	47430000	10252	10259	10252_10259	0	1	FALSE
chr10	47090000	47100000	chr10	47410000	47430000	10254	10259	10254_10259	0	1	FALSE
chr10	47120000	47180000	chr10	47350000	47370000	10255	10257	10255_10257	1	1	FALSE
chr10	48500000	48560000	chr10	49150000	49200000	10263	10273	10263_10273	0	1	FALSE
chr10	48640000	48690000	chr10	49500000	49530000	10264	10276	10264_10276	1	1	FALSE
chr10	48700000	48710000	chr10	48880000	48900000	10265	10270	10265_10270	0	1	FALSE
chr10	48810000	48820000	chr10	49150000	49200000	10268	10273	10268_10273	0	1	FALSE
chr10	48830000	48840000	chr10	49230000	49240000	10269	10274	10269_10274	0	1	FALSE
chr10	50310000	50320000	chr10	50610000	50630000	10280	10284	10280_10284	0	1	FALSE
chr10	50970000	50980000	chr10	51600000	51630000	10285	10298	10285_10298	0	1	FALSE
chr10	50990000	51090000	chr10	51530000	51540000	10286	10296	10286_10296	0	1	FALSE
chr10	50990000	51090000	chr10	52220000	52230000	10286	10310	10286_10310	0	1	FALSE
chr10	51110000	51120000	chr10	51960000	52050000	10287	10306	10287_10306	0	1	FALSE
chr10	51130000	51140000	chr10	52170000	52210000	10288	10309	10288_10309	0	1	FALSE
chr10	51260000	51270000	chr10	51960000	52050000	10290	10306	10290_10306	0	1	FALSE
chr10	51350000	51360000	chr10	51960000	52050000	10291	10306	10291_10306	0	1	FALSE
chr10	51480000	51490000	chr10	52130000	52140000	10295	10308	10295_10308	0	1	FALSE
chr10	51600000	51630000	chr10	51850000	51900000	10298	10304	10298_10304	0	1	FALSE
chr10	52890000	52910000	chr10	53590000	53610000	10319	10323	10319_10323	0	1	FALSE
chr1	163360000	163410000	chr1	165060000	165110000	1031	1049	1031_1049	3	2	TRUE
chr10	53170000	53200000	chr10	54360000	54410000	10320	10336	10320_10336	0	1	FALSE
chr10	53330000	53340000	chr10	53900000	53910000	10321	10330	10321_10330	0	1	FALSE
chr10	53830000	53850000	chr10	54360000	54410000	10328	10336	10328_10336	3	2	TRUE
chr10	53860000	53870000	chr10	54360000	54410000	10329	10336	10329_10336	0	1	FALSE
chr1	163430000	163440000	chr1	165060000	165110000	1032	1049	1032_1049	0	1	FALSE
chr10	53980000	53990000	chr10	54180000	54190000	10331	10333	10331_10333	0	1	FALSE
chr10	57350000	57360000	chr10	58140000	58150000	10346	10349	10346_10349	0	1	FALSE
chr1	163520000	163570000	chr1	164480000	164490000	1034	1038	1034_1038	0	1	FALSE
chr1	163520000	163570000	chr1	165060000	165110000	1034	1049	1034_1049	4	3	TRUE
chr10	58790000	58800000	chr10	59570000	59640000	10351	10359	10351_10359	1	1	FALSE
chr10	58940000	58970000	chr10	59570000	59640000	10353	10359	10353_10359	1	1	FALSE
chr10	60190000	60220000	chr10	60410000	60460000	10366	10367	10366_10367	2	1	FALSE
chr10	60800000	60830000	chr10	61860000	61870000	10370	10375	10370_10375	0	1	FALSE
