chr	start	end	persistence_left	persistence_right	type	w
chr1	80000	880000	18	18	gap	20
chr1	880000	1640000	18	18	domain	20
chr1	1640000	1760000	18	18	gap	20
chr1	1760000	2640000	18	18	domain	20
chr1	2640000	2760000	18	18	gap	20
chr1	2760000	3920000	18	18		20
chr1	3920000	5640000	18	1	domain	20
chr1	5640000	6000000	1	18		20
chr1	6000000	6440000	18	17		20
chr1	6440000	7960000	17	18		20
chr1	7960000	8360000	18	18	boundary,domain	20
chr1	8360000	8880000	18	18	domain	20
chr1	8880000	9120000	18	15	boundary,domain	20
chr1	9120000	9600000	15	18	boundary,domain	20
chr1	9600000	9880000	18	14		20
chr1	9880000	10160000	14	5	domain	20
chr1	10160000	10480000	5	18		20
chr1	10480000	11000000	18	18	domain	20
chr1	11000000	12800000	18	18	domain	20
chr1	12800000	13360000	18	18	gap	20
chr1	13360000	15120000	18	18		20
chr1	15120000	15320000	18	9	boundary,domain	20
chr1	15320000	15520000	9	18	boundary,domain	20
chr1	15520000	16520000	18	18		20
chr1	16520000	16880000	18	18	gap	20
chr1	16880000	18880000	18	18		20
chr1	18880000	19080000	18	11	boundary,domain	20
chr1	19080000	19720000	11	14	domain	20
chr1	19720000	19880000	14	18	boundary,domain	20
chr1	19880000	20680000	18	18		20
chr1	20680000	21680000	18	17		20
chr1	21680000	22040000	17	18	boundary,domain	20
chr1	22040000	22960000	18	18	domain	20
chr1	22960000	23480000	18	17	boundary,domain	20
chr1	23480000	23720000	17	18		20
chr1	23720000	23920000	18	3		20
chr1	23920000	24400000	3	18	boundary,domain	20
chr1	24400000	25280000	18	18	domain	20
chr1	25280000	25400000	18	18	gap	20
chr1	25400000	26440000	18	18		20
chr1	26440000	26920000	18	18	boundary,domain	20
chr1	26920000	27400000	18	7	boundary,domain	20
chr1	27400000	27720000	7	18	domain	20
chr1	27720000	28240000	18	18	boundary,domain	20
chr1	28240000	28760000	18	2		20
chr1	28760000	29240000	2	18	boundary,domain	20
chr1	29240000	30720000	18	18	domain	20
chr1	30720000	30920000	18	16	boundary,domain	20
