chr	start_TSS	end_TSS	name	score	strand	Ensembl_ID	start_TAD	end_TAD	w_TAD	order_lower_TAD	order_upper_TAD	Fraction
chr1	65418	65419	OR4F5	.	+	ENSG00000186092.6	40000	880000	3	28	28	0.0302595238095238
chr1	451696	451697	OR4F29	.	-	ENSG00000284733.1	40000	880000	3	28	28	0.490115476190476
chr1	686672	686673	OR4F16	.	-	ENSG00000284662.1	40000	880000	3	28	28	0.230151190476191
chr1	923927	923928	SAMD11	.	+	ENSG00000187634.12	880000	1320000	4	28	2	0.0998340909090909
chr1	959308	959309	NOC2L	.	-	ENSG00000188976.11	880000	1320000	4	28	2	0.180247727272727
chr1	960583	960584	KLHL17	.	+	ENSG00000187961.14	880000	1320000	4	28	2	0.183143181818182
chr1	966481	966482	PLEKHN1	.	+	ENSG00000187583.11	880000	1320000	4	28	2	0.196547727272727
chr1	982092	982093	PERM1	.	-	ENSG00000187642.9	880000	1320000	4	28	2	0.232029545454545
chr1	1000171	1000172	HES4	.	-	ENSG00000188290.10	880000	1320000	4	28	2	0.273118181818182
chr1	1001137	1001138	ISG15	.	+	ENSG00000187608.10	880000	1320000	4	28	2	0.275311363636364
chr1	1020119	1020120	AGRN	.	+	ENSG00000188157.15	880000	1320000	4	28	2	0.318452272727273
chr1	1074305	1074306	RNF223	.	-	ENSG00000237330.3	880000	1320000	4	28	2	0.441604545454546
chr1	1116360	1116361	C1orf159	.	-	ENSG00000131591.17	880000	1320000	4	28	2	0.462815909090909
chr1	1173879	1173880	TTLL10	.	+	ENSG00000162571.14	880000	1320000	4	28	2	0.332093181818182
chr1	1206591	1206592	TNFRSF18	.	-	ENSG00000186891.14	880000	1320000	4	28	2	0.257745454545455
chr1	1214152	1214153	TNFRSF4	.	-	ENSG00000186827.11	880000	1320000	4	28	2	0.240561363636364
chr1	1232066	1232067	SDF4	.	-	ENSG00000078808.17	880000	1320000	4	28	2	0.199847727272727
chr1	1232236	1232237	B3GALT6	.	+	ENSG00000176022.7	880000	1320000	4	28	2	0.199463636363636
chr1	1246721	1246722	C1QTNF12	.	-	ENSG00000184163.3	880000	1320000	4	28	2	0.166540909090909
chr1	1273884	1273885	UBE2J2	.	-	ENSG00000160087.20	880000	1320000	4	28	2	0.104806818181818
chr1	1280435	1280436	SCNN1D	.	+	ENSG00000162572.21	880000	1320000	4	28	2	0.0899204545454546
chr1	1308596	1308597	PUSL1	.	+	ENSG00000169972.12	880000	1320000	4	28	2	0.0259181818181818
chr1	1309608	1309609	ACAP3	.	-	ENSG00000131584.19	880000	1320000	4	28	2	0.0236159090909091
chr1	1324690	1324691	INTS11	.	-	ENSG00000127054.20	1320000	1640000	4	2	28	0.014659375
chr1	1324755	1324756	CPTP	.	+	ENSG00000224051.7	1320000	1640000	4	2	28	0.014859375
chr1	1331279	1331280	TAS1R3	.	+	ENSG00000169962.5	1320000	1640000	4	2	28	0.035246875
chr1	1349417	1349418	DVL1	.	-	ENSG00000107404.20	1320000	1640000	4	2	28	0.09193125
chr1	1361776	1361777	MXRA8	.	-	ENSG00000162576.16	1320000	1640000	4	2	28	0.130553125
chr1	1375494	1375495	AURKAIP1	.	-	ENSG00000175756.13	1320000	1640000	4	2	28	0.173421875
chr1	1399334	1399335	CCNL2	.	-	ENSG00000221978.12	1320000	1640000	4	2	28	0.247921875
