226.614	chr3	44390000	44510000	-	chr2	97740000	97810000	-	10kb
134.391	chr3	44870000	44960000	-	chr2	88880000	88930000	+	10kb
256.742	chr3	177030000	177300000	+	chrX	57970000	58060000	-	10kb
169.858	chr3	177310000	177400000	-	chrX	68000000	68140000	+	10kb
82.4853	chr3	177550000	177630000	-	chrX	68060000	68170000	-	10kb
52.4335	chr12	45890000	45950000	+	chr14	88600000	88630000	-	10kb
64.0032	chr12	69740000	69870000	-	chr14	106470000	106540000	+	10kb
37.2674	chr12	69640000	69670000	-	chr6	12480000	12550000	+	10kb
474.216	chr12	27310000	27740000	-	chr4	38050000	38180000	+	10kb
881.412	chr12	10210000	10360000	+	chr4	39150000	39460000	-	10kb
288.456	chr12	103600000	103830000	+	chr21	32260000	32350000	-	10kb
83.9409	chr12	121810000	121890000	-	chr21	31620000	31660000	+	10kb
104.725	chr12	103840000	103890000	-	chr10	87940000	88000000	-	10kb
445.355	chr12	105570000	106250000	-	chr10	88780000	88830000	-	10kb
347.922	chr12	61930000	62220000	+	chr10	87800000	87930000	+	10kb
283.797	chr12	59190000	59420000	-	chr10	86310000	86370000	-	10kb
186.201	chr12	60540000	60840000	+	chr10	84560000	84600000	+	10kb
168.931	chr12	58810000	58940000	-	chr10	87700000	87800000	+	10kb
168.763	chr12	58930000	59190000	+	chr10	84530000	84560000	+	10kb
69.2644	chr5	177060000	177090000	+	chr2	45610000	45800000	-	10kb
71.7226	chr5	177100000	177120000	-	chr2	8000000	8180000	+	10kb
312.668	chr14	54300000	54450000	+	chr1	91470000	91560000	+	10kb
498.96	chr14	21520000	21700000	+	chr1	91810000	92250000	-	10kb
607.181	chr14	100040000	100200000	-	chr1	47930000	48230000	-	10kb
586.073	chr14	103310000	103440000	+	chr10	100290000	100510000	+	10kb
397.323	chr14	103520000	103670000	-	chr10	102500000	102660000	+	10kb
254.567	chr14	99880000	99990000	+	chr10	103210000	103370000	-	10kb
60.5715	chr14	88480000	88600000	+	chrX	144700000	144740000	+	10kb
61.0481	chr6	136230000	136300000	+	chr7	105440000	105520000	+	10kb
60.2075	chr21	32350000	32410000	-	chr10	87940000	88000000	+	10kb
2876.49	chr17	22700000	28300000	+	chr10	85000000	86000000	-	100kb
417.272	chr3	94600000	96200000	+	chr5	90900000	91500000	-	100kb
101.355	chr3	96100000	96800000	-	chr5	90300000	90500000	-	100kb
1713.01	chr3	73600000	75800000	-	chr2	97700000	98600000	-	100kb
1738.98	chr12	60800000	62700000	-	chr21	32300000	33200000	-	100kb
1745.14	chr12	46000000	49300000	+	chrX	53000000	53900000	-	100kb
973.363	chr12	46000000	48700000	-	chrX	67800000	68000000	+	100kb
106.348	chr14	56000000	57400000	-	chr1	48000000	48200000	-	100kb
42.1576	chr14	24000000	24300000	-	chr10	99600000	100000000	-	100kb
668.377	chr1	99800000	101600000	+	chr15	25100000	29100000	-	100kb
781.953	chr8	38400000	38800000	-	chr2	68400000	69900000	+	100kb
631.437	chr8	40800000	41700000	+	chr2	75000000	75700000	-	100kb
39.5295	chr3	172000000	177000000	+	chr12	46000000	49000000	-	1Mb
180.795	chr3	157000000	164000000	-	chr2	75000000	85000000	+	1Mb
147.395	chr12	96000000	104000000	-	chr10	35000000	43000000	-	1Mb
267.16	chr14	24000000	31000000	+	chr10	42000000	59000000	+	1Mb
61.0564	chr1	85000000	91000000	+	chr10	104000000	110000000	-	1Mb
126.44	chr6	151000000	156000000	-	chr7	78000000	96000000	+	1Mb
87.7904	chr21	10000000	30000000	+	chr10	93000000	111000000	+	1Mb
101.832	chr12	58640000	58780000	+	chr12	104030000	104060000	+	10kb
111.897	chr12	105410000	105490000	-	chr12	121900000	122020000	-	10kb
45.4668	chr12	60860000	60950000	-	chr12	103990000	104030000	-	10kb
209.382	chr14	56300000	56490000	-	chr14	101660000	101800000	+	10kb
126.615	chr14	56000000	56300000	-	chr14	101770000	101800000	-	10kb
121.947	chr14	22450000	22530000	-	chr14	31360000	31480000	-	10kb
195.59	chr14	24030000	24170000	-	chr14	102300000	102360000	-	10kb
65.6077	chr14	23470000	23500000	+	chr14	30580000	30730000	-	10kb
243.37	chr3	44870000	44960000	-	chr3	131420000	131560000	+	10kb
81.5397	chr3	43700000	43780000	+	chr3	131530000	131590000	+	10kb
36.1293	chr3	109280000	109300000	+	chr3	149110000	149280000	-	10kb
64.4892	chr3	44350000	44390000	-	chr3	73610000	73690000	-	10kb
30.2917	chr3	130950000	131010000	-	chr3	157110000	157160000	+	10kb
72.9474	chr3	41700000	41890000	+	chr3	134550000	134570000	+	10kb
177.516	chr3	41900000	42000000	+	chr3	130950000	131030000	+	10kb
139.239	chr3	41910000	41970000	-	chr3	156830000	157140000	-	10kb
210.504	chr3	149110000	149270000	+	chr3	156700000	156790000	-	10kb
73.2655	chr3	70780000	70840000	+	chr3	131530000	131650000	+	10kb
93.9055	chr3	43700000	43780000	-	chr3	70780000	70840000	+	10kb
269.973	chr8	18090000	18150000	+	chr8	41240000	41540000	-	10kb
78.1452	chr6	66020000	66100000	+	chr6	119900000	119950000	+	10kb
141.188	chrX	67670000	67830000	-	chrX	144550000	144690000	+	10kb
180.209	chrX	52340000	52430000	-	chrX	67850000	67990000	-	10kb
39.0046	chrY	14440000	14520000	-	chrY	15990000	16080000	-	10kb
32.857	chr2	7910000	7960000	+	chr2	46150000	46180000	-	10kb
131.407	chr10	26320000	26550000	+	chr10	68070000	68100000	+	10kb
92.8168	chr10	26330000	26390000	-	chr10	67800000	67930000	+	10kb
166.184	chr10	28600000	28670000	-	chr10	90950000	91100000	+	10kb
66.0003	chr10	68740000	68900000	-	chr10	89220000	89260000	+	10kb
49.6325	chr10	84030000	84080000	-	chr10	91960000	92000000	-	10kb
84.9794	chr3	66120000	66200000	+	chr3	109330000	109390000	-	10kb
78.1739	chr16	6700000	8500000	+	chr16	34000000	34200000	-	100kb
32.6994	chr16	11200000	11300000	-	chr16	83100000	83400000	+	100kb
507.155	chr3	61200000	63600000	-	chr3	114300000	114600000	-	100kb
106.278	chr3	108600000	109400000	+	chr3	156700000	156800000	-	100kb
172.668	chr1	125100000	143700000	+	chr1	157200000	159400000	-	100kb
142.906	chr1	125100000	143700000	+	chr1	152300000	153400000	-	100kb
66.0804	chr6	63900000	64300000	-	chr6	119900000	120900000	-	100kb
110.547	chr19	36400000	37700000	+	chr19	43800000	44500000	+	100kb
46.0168	chr7	56200000	58100000	+	chr7	60900000	62400000	+	100kb
71.61	chr11	54600000	55300000	+	chr11	87400000	88000000	+	100kb
93.495	chr6	92700000	93300000	+	chr6	109100000	109400000	+	100kb
33.2781	chr6	93300000	94200000	-	chr6	109400000	109600000	-	100kb
