48.0812	chr4	94620000	94670000	+	chr7	13930000	14000000	+	10kb
194.863	chr12	100100000	100800000	+	chr16	68500000	68800000	-	100kb
1727.28	chr4	94800000	96400000	-	chr7	14000000	15300000	-	100kb
35.416	chr2	240000000	242000000	-	chr20	6000000	8000000	+	1Mb
319.608	chr19	36300000	37900000	-	chr19	43800000	44500000	-	100kb
38.9803	chr12	12000000	12400000	+	chr12	26100000	26300000	+	100kb
68.9567	chr16	5200000	8500000	+	chr16	34000000	34200000	-	100kb
32.5054	chr6	71100000	71400000	+	chr6	111300000	111600000	+	100kb
113.358	chr1	143500000	143700000	-	chr1	157200000	159700000	+	100kb
87.4726	chr1	143500000	143700000	-	chr1	152300000	153400000	-	100kb
39.5051	chr8	27500000	27700000	-	chr8	39100000	39500000	+	100kb
141.904	chrY	13600000	15300000	+	chrY	15900000	17400000	-	100kb
34.0784	chr17	65300000	66200000	-	chr17	82300000	82400000	-	100kb
32.2205	chr10	25900000	26600000	-	chr10	38300000	39500000	+	100kb
75.9528	chr7	56200000	58100000	+	chr7	60900000	62400000	+	100kb
