chr	start	end	strand	ens_gene	gene_name	target_id	transcript_name	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
chr21	38470775	38661694	-	ENSG00000157554.19	ERG	ENST00000485493.1	ERG-215	1.08017570931377e-64	1.18466110567569e-59	3.99233561848935	0.235065569509233	5.12675306762626	4.49762779373065	0.0347199288734205	0.131047537032679	0.107891873375752	0.131047537032679
chr21	38400072	38661694	-	ENSG00000157554.19	ERG	ENST00000468474.5	ERG-212	1.48361900602133e-36	5.42376490824593e-32	4.14690644217959	0.328394913239954	5.58345438295659	4.98416324471164	0.0532117060503191	0.270317951075311	0.102699630289562	0.270317951075311
chr21	38403604	38449105	-	ENSG00000157554.19	ERG	ENST00000473107.1	ERG-213	1.37889923329456e-24	3.78070039032786e-20	5.62817537178977	0.549883504667676	3.72242626367816	9.17908066138139	0.727959204201228	-0.133877881367963	0.179156401915589	0.179156401915589
chr21	38395370	38445621	-	ENSG00000157554.19	ERG	ENST00000492833.5	ERG-216	1.21268910760582e-22	1.90449424084825e-18	4.20391144937482	0.429299429044936	5.12038221290416	5.09492148197622	0.444979378929486	-0.142427191011051	0.107914620405438	0.107914620405438
chr21	38380027	38498442	-	ENSG00000157554.19	ERG	ENST00000398905.5	ERG-203	2.09277295304437e-14	7.65068960264116e-11	7.99228368231395	1.04545418425357	4.30617687350985	20.4017299015404	1.48239809234096	1.79652526177893	0.126552626079421	1.79652526177893
chr21	38380036	38498477	-	ENSG00000157554.19	ERG	ENST00000288319.12	ERG-201	4.21670874780637e-10	5.58528089527568e-07	3.67840679181853	0.588942059417147	6.63894672771184	4.33388557134752	0.944885947415295	-0.236814776762023	0.0956723006362373	0.0956723006362373
chr21	38380027	38498442	-	ENSG00000157554.19	ERG	ENST00000398907.5	ERG-204	5.92500235131377e-09	6.13030927241165e-06	5.60904740879442	0.963942518951147	5.01785058894194	11.1145267179606	1.23249702234192	1.55505851718372	0.108218414101301	1.55505851718372
chr21	38391659	38498456	-	ENSG00000157554.19	ERG	ENST00000481609.5	ERG-214	1.94890109135248e-08	1.64416791839924e-05	3.46248232189508	0.616486506431032	2.73814360253893	4.30618362424127	0.59496609797033	0.545200739864286	0.493352765310157	0.545200739864286
chr21	38380027	38584900	-	ENSG00000157554.19	ERG	ENST00000398897.5	ERG-202	0.00355925432387928	0.078891289301296	3.08264577586448	1.05758680320872	5.07879925620425	5.64207366618207	2.25034146079863	1.1051280781651	0.10804579642654	1.1051280781651
chr21	38383126	38498476	-	ENSG00000157554.19	ERG	ENST00000453032.6	ERG-211	0.0246651191355075	0.221505398731622	3.51472898999084	1.56446059635388	4.0283530039783	10.044188031415	0.518371099341639	6.82423977329022	0.142822815152199	6.82423977329022
chr21	38383291	38660667	-	ENSG00000157554.19	ERG	ENST00000398919.6	ERG-207	0.0886045601960183	0.412882481012787	1.43419513010493	0.842254456710066	2.3884815278351	2.49568400991719	0.811723620809601	1.3164540887343	0.669659623087615	1.3164540887343
chr21	38380030	38661780	-	ENSG00000157554.19	ERG	ENST00000442448.5	ERG-210	0.166078584606171	0.540918142414177	2.08059539009153	1.5023275819239	1.8192920546279	7.33602513037178	2.16978881124935	4.60117567897856	1.04231496559872	4.60117567897856
chr21	38256741	38307357	+	ENSG00000157551.19	KCNJ15	ENST00000328656.8	KCNJ15-201	0.240807477620344	0.627821696659207	-2.14898068512264	1.83208355390649	3.74044216675981	10.4136598554481	1.67026231757023	8.39932812791365	0.176161817418431	8.39932812791365
chr21	38400008	38661780	-	ENSG00000157554.19	ERG	ENST00000429727.6	ERG-209	0.366781506015887	0.733409924732156	-0.764325423272534	0.846880629292229	2.06627841754879	1.44487088685896	1.28221147234075	0.131888497405891	0.869408928470461	0.869408928470461
chr21	38256991	38307357	+	ENSG00000157551.19	KCNJ15	ENST00000398938.7	KCNJ15-208	0.4444585359686	0.784970546801577	1.21932633233616	1.59454509283361	2.78890567230578	7.33977197332526	0.39855451291476	7.22916764632452	0.469032067026296	7.22916764632452
chr21	41467766	41468837	-	ENSG00000184012.12	TMPRSS2	ENST00000469395.1	TMPRSS2-208	5.37860588176283e-06	0.00125241580227298	-1.63902741077724	0.360269275213658	6.09507544249778	1.08664100724788	0.00529131203037055	0.384090539958552	0.0993702573771335	0.384090539958552
chr21	41465890	41468102	-	ENSG00000184012.12	TMPRSS2	ENST00000488556.1	TMPRSS2-209	0.000201946558926304	0.0141521309630188	-1.36865257094526	0.368257011926948	6.11594670140407	0.88072967135147	0.00533214470414313	0.40150753579595	0.0992749612163413	0.40150753579595
chr21	41426270	41429921	+	ENSG00000157601.14	MX1	ENST00000478268.1	MX1-213	0.0142944938711211	0.16753484401372	-0.572349413307892	0.23363332493876	4.03866560487597	0.193277643458123	0.0217252126019341	0.0926050399278354	0.142028378963886	0.142028378963886
chr21	41389543	41409390	+	ENSG00000183486.13	MX2	ENST00000482953.5	MX2-209	0.016647326494816	0.18145122626376	-0.935557379327862	0.39072635196077	3.53870498159398	0.655074117594691	0.212707536914793	0.245293709434922	0.215729520119193	0.245293709434922
chr21	41494356	41506604	-	ENSG00000184012.12	TMPRSS2	ENST00000455813.1	TMPRSS2-205	0.019327418206577	0.194986288011215	-0.629291505705229	0.269025153297112	6.8839510506355	0.30538721733221	0.00207823969247234	0.215045359627132	0.0935416653785719	0.215045359627132
chr21	41362027	41409393	+	ENSG00000183486.13	MX2	ENST00000330714.8	MX2-201	0.0275861435445085	0.234446466391179	-0.407632489403864	0.18502491913353	6.05409046492555	0.0723341100135414	0.00314555403604921	0.0265726930535692	0.0995571080650584	0.0995571080650584
chr21	41464553	41508065	-	ENSG00000184012.12	TMPRSS2	ENST00000398585.7	TMPRSS2-202	0.0493600142959727	0.312230986727547	-0.847843513361216	0.431369632644491	10.5750214571117	0.703537151680125	0.000184319043265753	0.558054960860265	0.0935655135332594	0.558054960860265
chr21	41488489	41508114	-	ENSG00000184012.12	TMPRSS2	ENST00000463138.1	TMPRSS2-207	0.0541462531075498	0.326463773566748	-1.17188919408256	0.608563468128742	3.17277454354318	1.38458706289536	0.099175573535115	1.01187291068753	0.312535670658253	1.01187291068753
chr21	41402634	41408943	+	ENSG00000183486.13	MX2	ENST00000398632.3	MX2-202	0.0717713645995802	0.373688799360509	-0.629566608813408	0.349649346398946	5.32810906973584	0.441518391628615	0.00724163582362523	0.359522360488006	0.106287649932416	0.359522360488006
chr21	41473446	41508092	-	ENSG00000184012.12	TMPRSS2	ENST00000424093.5	TMPRSS2-203	0.0852785390882143	0.405091528821107	-0.853870825646348	0.496192098028037	5.36928958023586	0.870316736821262	0.0373050894734543	0.701314704962941	0.105628694663502	0.701314704962941
chr21	41421329	41435935	+	ENSG00000157601.14	MX1	ENST00000413778.5	MX1-204	0.105031461059345	0.445848336735479	-0.402188033663518	0.248120928055937	3.90255395076893	0.0966495951088431	0.0303354602723777	0.0274525300207118	0.15435652454564	0.15435652454564
